n,factorization,num_factors,n_mod6,wing,num_left_factors
128697361,13*17*661*881,4,1,right,2
129255841,11*13*19*113*421,5,1,right,2
129762001,19*31*151*1459,4,1,right,0
130032865,5*19*97*103*137,5,1,right,2
130497361,29*61*71*1039,4,1,right,2
132511681,19*43*241*673,4,1,right,0
133205761,13*17*41*61*241,5,1,right,2
133344793,19*73*127*757,4,1,right,0
133800661,109*541*2269,3,1,right,0
134809921,19*97*193*379,4,1,right,0
134857801,13*19*29*67*281,5,1,right,2
135556345,5*37*89*8233,4,1,right,2
136625941,19*37*109*1783,4,1,right,0
139592101,11*31*151*2711,4,1,right,2
139952671,131*571*1871,3,1,right,2
140241361,13*29*41*43*211,5,1,right,2
144218341,19*37*271*757,4,1,right,0
145124785,5*13*43*137*379,5,1,right,2
146843929,163*379*2377,3,1,right,0
150846961,31*61*241*331,4,1,right,0
151530401,11*17*71*101*113,5,5,left,5
151813201,41*61*101*601,4,1,right,2
153589801,151*701*1451,3,1,right,2
153927961,11*47*173*1721,4,1,right,4
157731841,29*113*127*379,4,1,right,2
158404141,7*31*37*109*181,5,1,right,0
158864833,19*43*337*577,4,1,right,0
159492061,19*127*157*421,4,1,right,0
161035057,29*113*157*313,4,1,right,2
161242705,5*13*17*337*433,5,1,right,2
161913961,11*31*37*41*313,5,1,right,2
163954561,67*331*7393,3,1,right,0
167979421,31*61*211*421,4,1,right,0
168659569,13*67*83*2333,4,1,right,2
169057801,11*19*41*109*181,5,1,right,2
169570801,17*19*29*43*421,5,1,right,2
170947105,5*7*647*7549,4,1,right,2
171454321,163*811*1297,3,1,right,0
171679561,53*79*131*313,4,1,right,2
172290241,37*41*137*829,4,1,right,2
172430401,11*13*31*97*401,5,1,right,2
172947529,307*613*919,3,1,right,0
173085121,11*31*53*61*157,5,1,right,2
174352641,3*71*641*1277,4,3,div3,3
175997185,5*7*13*503*769,5,1,right,2
176659201,37*41*101*1153,4,1,right,2
178451857,19*109*199*433,4,1,right,0
178482151,151*331*3571,3,1,right,0
178837201,59*1451*2089,3,1,right,2
180115489,163*487*2269,3,1,right,0
181154701,7*13*37*173*311,5,1,right,2
182356993,7*13*73*97*283,5,1,right,0
184353001,7*31*653*1301,4,1,right,2
186393481,131*521*2731,3,1,right,2
186782401,13*37*577*673,4,1,right,0
187188001,7*11*13*41*4561,5,1,right,2
188516329,89*617*3433,3,1,right,2
188689501,7*11*13*251*751,5,1,right,2
189941761,257*641*1153,3,1,right,2
193708801,11*13*31*37*1181,5,1,right,2
193910977,13*139*239*449,4,1,right,2
194120389,37*109*127*379,4,1,right,0
194675041,11*17*373*2791,4,1,right,2
196358977,19*67*73*2113,4,1,right,0
200753281,71*631*4481,3,1,right,2
206955841,17*71*277*619,4,1,right,2
208969201,7*19*661*2377,4,1,right,0
212027401,53*83*157*307,4,1,right,2
213835861,19*31*43*8443,4,1,right,0
214850881,7*109*193*1459,4,1,right,0
214852609,229*457*2053,3,1,right,0
216821881,331*661*991,3,1,right,0
221884001,131*521*3251,3,5,left,3
225745345,5*7*23*193*1453,5,1,right,2
226509361,13*89*137*1429,4,1,right,2
227752993,13*97*109*1657,4,1,right,0
228842209,337*673*1009,3,1,right,0
230630401,53*97*113*397,4,1,right,2
230996949,3*53*317*4583,4,3,div3,3
231194965,5*23*229*8779,4,1,right,2
237597361,31*47*313*521,4,1,right,2
238244041,7*73*191*2441,4,1,right,2
238527745,5*113*157*2689,4,1,right,2
